First Name (required),Last Name (required),Title,Company,Description,Image URL,Website,Twitter Handle,Facebook URL,LinkedIn URL,Session IDs,Attendee ID,Speaker ID
Amy,Banister,Senior Director of Air Programs,Waste Management,"<strong>BIO: </strong> Amy Banister has more than 20 years of experience in air quality consulting, project management, regulation development and planning, as well as corporate environmental program implementation. She is responsible for directing air program activities at Waste Management, which includes developing corporate policies and standards and training programs for application at Waste Management North American facilities. Amy also is responsible for corporate climate change reporting and participates in regulatory advocacy for air issues pertaining to Waste Management and the solid waste industry. She is the SWANA International Board representative for the Landfill Gas and Biogas Technical Division. She also served as Past Director/Director of the Landfill Gas Technical Division and has served as Vice Chair of the LFG Divisionâ€™s Rules and Regulations Committee. She has a Bachelorâ€™s degree in geology from Hope College in Holland, Michigan. ",http://www.swana.org/Portals/0/events/speakers/AmyBanister.png,,,,,RaRUIftNNRfL040516LGB040516230PM,,ABanister
Niki,Wuestenberg,Manager - Air Compliance,Republic Services,"<strong>BIO: </strong> Niki Wuestenberg has more than 20 years of experience in the solid waste industry, including air quality program management, project management, compliance training, environmental auditing, oversight of landfill gas collection system operations and maintenance and coordinating climate change initiatives She is the corporate air compliance manager of Republic Services. In this role, she has a broad range of air compliance responsibilities including review of regulations, air compliance evaluations, PSD/NSR guidance and compliance support, as well as oversight of state and federal Title V permit programs, New Source Performance Standards, and the National Emission Standards for Hazardous Air Pollutants. As climate change has become increasingly more demanding, she also has focused on greenhouse gas initiatives and assisting with coordinating regulatory advocacy involving the solid waste industry. Niki joined Republic in 2001 as a technical resource to Republic facilities and personnel nationwide. Niki has served as Chair of SWANAâ€™s Rules and Regulations Committee for the Landfill Gas and Biogas Technical Division, represents Republic on the Solid Waste Industry for Climate Solutions Coalition, is an advisor to The Climate Registry and is a member of NSWMAâ€™s Climate Task Force. ",http://www.swana.org/Portals/0/events/speakers/NikiWuestenberg.png,,,,,RaRUIftNNRfL040516LGB040516230PM,,NWuestenberg
Ivan,Cooper,Principal,"Civil and Environmental Consultants, Inc.","<strong>BIO: </strong> Ivan Cooper is the national water resources and wastewater practice leader for Civil and Environmental Consultants, Inc. He has designed more than 100 leachate, industrial and municipal wastewater treatment plants and oversees projects in wastewater reuse, wastewater permitting and treatability. He is a graduate of Union College and has a Masterâ€™s degree in civil engineering from Northwestern University. He is a P.E. in 13 states and is a Board Certified Environmental Engineer from the American Academy of Environmental Engineers with a wastewater treatment specialty. He is the Chair of SWANAâ€™s Leachate Management Committee. ",http://www.swana.org/Portals/0/events/speakers/IvanCooper.png,,,,,IWALEI040516LF040516340PM,,ICooper
Jeffrey,Reed,Vice President,SCS Engineers,"<strong>BIO: </strong> Jeffrey Reed serves as SCS Engineersâ€™ national expert on landfill design and construction quality assurance. He has more than 28 years of engineering experience, having focused primarily on the design and permitting of landfills, including cell design projects. He has managed or directed more than 200 landfill design and permitting projects across the U.S. His areas of expertise have included storm water management, erosion control, hydrogeologic/hydraulic analysis, landfill design, landfill permitting, geosynthetic lining and cover systems, landfill leachate control and construction quality assurance. He has served as professional of record on more than 50 landfill liner and final cover CQA projects. He has prepared more than 40 landfill liner construction plans and contractor bid packages. Jeffrey has presented expert testimony in support of landfill permit applications. He has owned and managed engineering offices. He has lead design teams, as well as multi disciplinary teams, on small and large solid waste projects. Jeffrey graduated with a Bachelor of Science degree in civil engineering from the University of Illinois. He is a member of SWANA and ASCE and is a registered professional engineer in 10 states. ",http://www.swana.org/Portals/0/events/speakers/JeffreyReed.png,,,,,DaOCfMEOFWiMSWL040516LF040516340PM,,JReed
Marco,Elizondo,Director of Engineering and Compliance,WCA Waste Corporation,"<strong>BIO: </strong> Marcos Elizondo is the region director of landfill operations and engineering for WCA Waste Corporation. Marcos has more than 22 years of experience in the solid waste industry and prior positions include region director of engineering, area engineer, district manager, district engineer, general manager and division engineer. During his career he has worked in the operations of landfills with waste intakes from 350 tons-per-day to 6,000 tons-per-day and has performed engineering work in design, permitting, construction and operation of landfills, transfer stations and recycling facilities. During his career, Marcos has done work at more than 90 landfills involving solid waste projects and operations in Texas, Louisiana, Arkansas, Tennessee, Mississippi, Alabama, Georgia, and Florida, as well as Mexico, Central America, South America and the Caribbean. Prior to working for WCA, Marcos worked for SCS Engineers, Republic Services and Waste Management. Marcos received his degree in civil engineering from the University of Texas at San Antonio in 1992 and has degree work on a Masterâ€™s in management from the same university. ",http://www.swana.org/Portals/0/events/speakers/MarcoElizondo.png,,,,,DaOCfMEOFWiMSWL040516LF040516340PM,,MElizondo
Harvey,Gibson,Bees Ferry Facilities Manager,Charleston County Environmental Management Department,"<strong>BIO: </strong> Harvey Gibson has been the Charleston County MRF supervisor from 2005-2010 and has served as the compost operation manager from 2010 to 2015 He is currently the manager of the Bees Ferry Facility, which includes the composting and landfill divisions. He is a member of the U.S. Composting Council and Palmetto Chapter of SWANA. Harvey served a four-year machinist apprenticeship and earned a degree from Purdue University. While compost superintendent, his division received the Carolina Recycling Associationâ€™s Outstanding Composting Recycling Award for 2011 and the USCCâ€™s â€œComposter of the Yearâ€ù award for 2014. The Bees Ferry facility produces STA certified compost and has been authorized for use in organic gardening through Clemson University. The facility at Bees Ferry handles more than 70,000 tons of yard waste and 4,000 tons of food waste annually. ",http://www.swana.org/Portals/0/events/speakers/HarveyGibson.png,,,,,OPCSCFWP040516RTZW040516340PM,,HGibson
Jim,Miller,CEO,J.R. Miller and Associates,"<strong>BIO: </strong> James R. Miller has been a leading design professional and technical advisor in the solid waste management industry for more than 29 years. His work demonstrates a focus on integrating process and non-process requirements with overall plant layout and site configuration. He brings a wealth of expertise in designing facilities to maximize functionality and efficiency and to minimize life-cycle costs. Jim has been a frequent contributor at WASTECON, WasteExpo and a number of SWANA regional events. He also is guest lecturer for the Solid Waste Extension Program at UCLA on the subject of the history and design of solid waste facilities. ",http://www.swana.org/Portals/0/events/speakers/JimMiller.png,,,,,OPCSDoOfMW040516RTZW040516340PM,,JMiller
Victoria,Leung,Sales and Marketing Manager,Enterra Feed Corporation,"<strong>BIO: </strong> Victoria Leung is the manager of marketing and sales at Enterra Feed Corporation, a sustainable farming operation in Vancouver, British Columbia, Canada, that grows insects as a sustainable source of protein for the animal feed industry. The insects feed on pre-consumer food waste, upcycling the valuable nutrients in the waste into high quality end products. Victoria connects with local farmers, food processors and waste haulers to divert food waste to Enterraâ€™s commercial-scale facility, which has the capacity to process 100 tonnes of organics every day. She also oversees the sales of Enterraâ€™s insect-based products, working with feed manufacturers around the world who are searching for a sustainable alternative to traditional protein sources. Victoria graduated from the University of British Columbiaâ€™s Sauder School of Business in 2007 with a Bachelor of Commerce degree in marketing. She gained sales experience in the consumer packaged goods and telecommunications industries before joining the Enterra team in 2014. She is passionate about global food security and closing the loop on food waste, now exploring opportunities to expand Enterraâ€™s operations in North America and the rest of the world. ",http://www.swana.org/Portals/0/events/speakers/VictoriaLeung.png,,,,,OPCSF_CRFiRAFIaOF040516RTZW040516340PM,,VLeung
Mark,McDannel,Mark McDannel,Los Angeles County Sanitation Districts,"<strong>BIO: </strong> Mark McDannel is a supervising engineer in the Energy Recovery Engineering Section at the Los Angeles County Sanitation Districts. The Districts operate nine renewable power plants, six landfills and 12 wastewater treatment plants. The Energy Recovery Engineering Section is responsible for development of renewable energy projects, purchase and sale of electricity, energy efficiency, energy-related regulatory affairs and power plant site engineering. Mark has 35 years of experience in energy, air quality and combustion. He holds a Master of Science degree from the University of California Irvine Combustion Laboratory, and he is a licensed Mechanical Engineer and a Board Certified Environmental Engineer. ",http://www.swana.org/Portals/0/events/speakers/MarkMcDannel.png,,,,,ADEPfUBGfFWDaWTP040516LGB040516340PM,,MMcDannel
Brandon,Moffatt,Senior VP - Energy,Harvest Power,"<strong>BIO: </strong> Brandon Moffatt is Harvest Powerâ€™s senior vice president of energy. Brandon has extensive management and technical experience in the environmental, waste and renewable energy sectors. He leads the companyâ€™s energy group, responsible for future project development, engineering design, feedstock procurement and technical support of complex organics processing and anaerobic digestion sites across North America. Also Brandon is responsible for the companyâ€™s energy gardens in Orlando, Florida, and London, Ontario. Brandon has an MBA from the Odette School of Business and holds a Bachelor of Science degree in environmental engineering from the University of Waterloo. ",http://www.swana.org/Portals/0/events/speakers/BrandonMoffatt.png,,,,,ADEPDOF040516LGB040516340PM,,BMoffatt
Eric,Herbert,CEO,Zero Waste,"<strong>BIO: </strong> Eric Herbert has nearly 20 years of senior executive leadership experience in the solid waste industry and more than 10 years of experience in the engineering and construction industry. He has led two large regional waste companies as president or chief operating officer. His solid waste experience includes all elements of the business from acquisitions and competitive proposals, collection and hauling operations, recyclables processing including single stream and mixed waste, composting and landfill operations. He also rose to the senior level in the engineering and construction industry. He is a Registered Civil Engineer and Licensed General Engineering Contractor in California. Eric has used this technical and managerial background to develop and operate some of the largest solid waste and recyclables processing facilities in the nation. He brings an excellent knowledge of the industryâ€™s metrics and unique ability to design, build and operate innovative facilities. He is a demonstrated leader of complex business development ideas with a practical knowledge and approach. ",http://www.swana.org/Portals/0/events/speakers/EricHerbert.png,,,,,ADEPJFWD040516LGB040516340PM,,EHerbert
Thabet,Tolaymat,Ph.D.,EPA Office of Research and Development,"<strong>BIO: </strong> Thabet Tolaymat has worked for the U.S. EPA Office of Research and Development in Cincinnati, Ohio, since 2003. Currently, he leads EPAâ€™s national research program in the area of solid waste research. His main research areas are solid waste management, bioreactor landfills, waste containment performance, construction and demolition waste landfills, fate and transport of environmental pollutants. Thabet is a member of the ITRC Alternative Landfill Technology team. He earned a Ph.D. in environmental engineering from the University of Florida in 2003. ",http://www.swana.org/Portals/0/events/speakers/ThabetTolaymat.png,,,,,LTCPDfSDLFtPCP040516LF040516450PM,,TTolaymat
Jeremy,O'Brien,Director of Applied Research,SWANA,"<strong>BIO: </strong> Jeremy O'Brien is a solid waste management consultant who has more than 25 years of experience in the industry. Since February 1999, he has served as the director of applied research for SWANA and has continued to provide consulting services to local governments as an independent solid waste management consultant. From 1979-1989, Jeremy was employed by HDR Engineering, Inc. He served as HDRâ€™s recycling technical director in 1991-1992 and was recognized as a â€œSenior Professional Associateâ€ù of the firm in 1998. While at HDR, he was a project manager in the companyâ€™s environmental and resource management group. From 1979-1989, Jeremy worked for Public Technology Institute, a local government research organization which serves as the technical arm of the National League of Cities and the International City Management Association. He began his career by serving as a research associate at the National Center For Resource Recovery in Washington, D.C. Jeremy received a Masterâ€™s degree from Duke University in urban and environmental engineering in 1978, as well as a Bachelorâ€™s degree in liberal arts from Duke University in 1974. Jeremy obtained his Professional Engineering registration and license in 1984. ",http://www.swana.org/Portals/0/events/speakers/JeremyO'Brien.png,,,,,LTCPDfSDLFtPCP040516LF040516450PM,,JOBrien
Robert,Gardner,Senior Vice President,SCS Engineers,"<strong>BIO: </strong> Robert Gardner holds B.S. and M.E. degrees in civil engineering. He is a senior vice president of SCS Engineers. He serves on the firmâ€™s Board of Directors and oversees SCSâ€™s nation-wide solid waste management practice. His expertise is in solid waste management and environmental engineering. Bob is a past director of SWANAâ€™s Landfill Management Division. He currently is a member of SWANAâ€™s Applied Research Foundation and the Environmental Research and Education Foundation Research Council. He has provided engineering, permitting, construction and litigation support services to many municipal and private solid waste clients throughout the United States and elsewhere since 1980. ",http://www.swana.org/Portals/0/events/speakers/RobertGardner.png,,,,,LTCPDfSDLFtPCP040516LF040516450PM,,RGardner
MaryEllen,Etienne,CEO,Reuse Institute,"<strong>BIO: </strong> MaryEllen Etienne provides ongoing input into the industryâ€™s development, and helps businesses, municipalities and others incorporate robust reuse policies and strategies into their sustainability efforts. She regularly speaks about reuse and its triple bottom line benefits, and recently helped develop a national standard for sustainable resource management training programs as well as the first certification for zero waste facilities and professionals. MaryEllen is the CEO of Reuse Institute and the creator and producer of ReuseConex. She is also the founder of Reuse Alliance and co-founder of Creative Reuse Association and REUSE.International. She has worked with several other notable reuse and recycling organizations. She received her degree from the State University of New York at New Paltz, is on the board of directors of Association of Ohio Recyclers, Reuse Institute and SCRAP USA, and the advisory boards of National Recycling Coalition and US Zero Waste Business Council. ",http://www.swana.org/Portals/0/events/speakers/MaryEllenEtienne.png,,,,,RoRaRBRIRaRS040516RTZW040516450PM,,MEtienne
Peggy,Ratcliffe,Executive Director,LiveThrive Atlanta,"<strong>BIO: </strong> Peggy Ratcliffe is the founder of Live Thrive, an Atlanta-based nonprofit organization that empowers people, organizations, communities and businesses to make positive, healthy and sustainable changes to the environment. Peggy also was the founder and CEO of LivingGreenPages.com, an Internet resource providing information and access to more than 200 organic, sustainable and environmentally responsible businesses, services and products for individuals seeking to change their daily lifestyle choices and create a positive impact on Atlanta's environment. Peggy has a Bachelorâ€™s degree in education from Georgia State University. ",http://www.swana.org/Portals/0/events/speakers/PeggyRatcliffe.png,,,,,RoRaRTCfHtRM040516RTZW040516450PM,,PRatcliffe
Heather,Cashwell,Outreach and Education Coordinator,NCDEQ - Division of Environmental Assistance & Customer Service,"<strong>BIO: </strong> Heather Cashwell works with communities, businesses and non-profits on public outreach strategies aimed at increasing recycling and reuse, decreasing contamination and creating a waste reduction ethic. Previously, Heather worked for the Town of Cary, North Carolina, on recycling, reuse and community involvement programs. Heather is a former Board member of the Carolina Recycling Association and The Scrap Exchange, a premier reuse organization in North Carolina. ",http://www.swana.org/Portals/0/events/speakers/HeatherCashwell.png,,,,,RoRaRotTRftTS040516RTZW040516450PM,,HCashwell
Gus,Simmons,Director of BioEnergy,Loyd Ray Farms,"<strong>BIO: </strong> Gus Simmons is vice president and director of bioenergy for Cavanaugh, consulting the public and private sectors to improve water efficiency and bioenergy system deployment. Gus is a passionate advocate for the beneficial reuse of water, nutrients and carbon associated with organic waste streams using innovative approaches that cultivate better stewardship of these resources. His efforts in harvesting energy and valuable co-products from organic wastes span globally in the agricultural, food processing, industrial and municipal sectors. Gus has a Bachelor of Science degree in biological and agricultural engineering from North Carolina State University, with a concentration in biological waste treatment. ",http://www.swana.org/Portals/0/events/speakers/GusSimmons.png,,,,,AWDtWNGMT040516LGB040516520PM,,GSimmons
Bill,Jorgenson,Managing Director,Vanguard Renewables,"<strong>BIO: </strong> Bill Jorgenson has been managing partner of AGE and BGE (farm age digesters) since formed in 2008 under his leadership. These entities merged in June 2015 into Vanguard Renewables, which raised capital and debt through a group of large family offices to build and operate farm digesters in the U.S. Prior to total dedication to the digester industry, he ran a strategic management-consulting group that he founded in 1993 called SJH; the firm was dedicated to the global food, renewable ag fuel and agriculture industries. His first renewable projects were ethanol, and then progressed to bio-diesel, cellulosic and digesters over the years for a variety of global clients. Prior to forming SJH and Company, he was a vice president/director of the Quaker Oats Company, running Latin America, then chief operating officer for a leveraged buy-out company, the Terson Company (subsequently sold to NestlÃ©). He started his career working in international marketing for Colgate-Palmolive. In 2000, Bill launched eFarm, which licensed the patented technology he wrote to Deere &amp; Company, becoming part of John Deere Agri Services. At John Deere, Bill was the senior managing director and provided services and technology solutions to connect the food supply chain, showing new ways to enhance value while tracking and tracing raw materials. He graduated from Colgate University and attended the University of Oslo, Norway. He is an author, industry speaker and Board of Advisor member with two new clean energy funds â€“ one in Canada and one in Switzerland. ",http://www.swana.org/Portals/0/events/speakers/BillJorgenson.png,,,,,AWDFD040516LGB040516520PM,,BJorgenson
Ted,Michaels,Partner,"AJW, Inc.","<strong>BIO: </strong> Ted Michaels is a Partner at AJW, Inc. and has nearly 20 years of experience in federal and state government affairs during which time he has served elected officials, trade associations, and companies with a focus on energy and environmental issues. He has earned a reputation for solving difficult policy challenges, based on developing practical solutions that achieve bipartisan support. His work has focused on crafting policies to drive investment in technologies and real property in order to solve complex environmental and energy related problems.<br> <br> Since 2005, Mr. Michaels has served as President of the Energy Recovery Council (ERC), the national trade association representing the companies and communities engaged in the waste-to-energy sector. He is principally responsible for the legislative, regulatory, research, and public education efforts of the trade association. Through his work with ERC, he focuses on creating an environment in which the waste-to-energy sector can thrive. In addition, he serves as Chairman of the North American Waste-to-Energy Conference Steering Committee. Mr. Michaels is recognized as a national leader on waste-to-energy issues and often speaks at conferences across the country on the latest policies, trends, and developments in the sector.<br> <br> Prior to joining ERC, Mr. Michaels served as the Staff Director of the Senate Environment and Public Works Subcommittee on Superfund and Waste Management, under the chairmanship of Senator Lincoln D. Chafee of Rhode Island. In this capacity, Mr. Michaels worked extensively on the Small Business Liability Relief and Brownfields Revitalization Act, which was signed into law on January 11, 2002. This law unleashed private sector investment in blighted properties that were previously unable to be redeveloped due to liability risk and funding limitations. In addition, Mr. Michaels had significant involvement in the reauthorization of the underground storage tank program, which was enacted as part of the Energy Policy Act of 2005, as well as many other pieces of proposed and enacted legislation under the jurisdiction of the Environment and Public Works Committee.<br> <br> Earlier in his career, Mr. Michaels served as a Policy Analyst at the National Governorsâ€™ Association (NGA). Working in the NGA Natural Resources Group, he assisted in the development of policy positions adopted by the nationâ€™s Governors and advocated on behalf of those positions. Mr. Michaels received a Master of Arts in American History from Fordham University and a Bachelor of Arts in History from Providence College. <br> Â  ",http://www.swana.org/Portals/0/events/speakers/TedMichaels.png,,,,,KITPSTtaCEiNA040616all040616830AM,,TMichaels
Allison,Yeckel,Sales Engineer,Alter NRG Corp.,"<strong>BIO: </strong> Allison Yeckel is a graduate from both the University of Pittsburgh and Chatham College, earning Bachelor of Science degrees in mechanical engineering and mathematics. Her 13 years of work experience includes engineering and business development positions with the U.S. Army Corps of Engineers, Northrop Grumman and Johnson Controls. Currently, she is a sales engineer as part of the business development team of Alter NRG Corp. Alter NRG is a plasma gasification waste-to-energy company, with a mission to convert the worldâ€™s waste into high value-chain products. She is an active member in SWANA, where she serves as the Safety Ambassador for the Pennsylvania Keystone Chapter; she participates in Engineers Without Boarders, community litter clean-ups and volunteers at the local animal humane society. <br> Â  ",http://www.swana.org/Portals/0/events/speakers/AllisonYeckel.png,,,,,KITPSTtaCEiNA040616all040616830AM,,AYeckel
Mark,Hammond,Executive Director/CEO,Solid Waste Authority of Palm Beach County Florida,"<strong>BIO: </strong> Mark Hammond has 40 years of experience in planning, design, construction and operation of integrated solid waste management systems. He has been with the Solid Waste Authority since 1983 and served as COO, managing director and now as executive director/CEO. During his tenure, the Authority built an integrated solid waste management system consisting of six transfer stations, recovered materials processing facility, household hazardous waste drop-off facilities, in-vessel composting facility, ferrous processing facility, 2,000 ton-per-day RDF waste-to-energy facility and landfill. The Authority serves a population of 1.4 million residents and manages more than two million tons of solid waste per year. Mark Hammond is a SWANA member who served as International President from 1999-2000. He now serves on the Solid Waste Management Training Committee for the State of Florida. He also served on the Technical Advisory Group appointed by the State of Florida Department of Environment Protection to develop sanitary landfill design criteria. <br> Â  ",http://www.swana.org/Portals/0/events/speakers/MarkHammond.png,,,,,KITPSTtaCEiNA040616all040616830AM,,MHammond
