Name (required),Description,Start Time (required),End Time (required),Location,Session Tracks,Filters,Speaker IDs,Link URLs,Session ID
Welcome and Opening Remarks,.,4/5/16 8:30,4/5/16 8:55,Ballroom C,all, ,,,WaOR040516all040516830AM
Accolades,Technical Divisions present awards to individuals who have distinguished themselves throughout their waste management careers.,4/5/16 8:55,4/5/16 9:30,Ballroom C,all, ,,,A040516all040516855AM
Landfill 101, <br> <strong> ABSTRACT:</strong><br> This session will be geared towards young professionals or people new to the solid waste industry. Basic concepts related to landfill management will be presented/discussed to provide the audience with a general familiarity of current practices. <br> <br> ,4/5/16 9:30,4/5/16 10:30,Room 1,"YP,LF", ,"TMitchell,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/Landfill101.aspx,L1040516YPLF040516930AM
Keynote - EPA's Call to Collective Action to Meet the U.S. Food Waste Goal," <br> <strong> ABSTRACT:</strong><br> The first ever U.S. official food waste reduction goal has resulted in a confluence of leaders and organizations in the food industry becoming a part of a historic environmental change. This challenge reaches far beyond the U.S. borders, because U.S. food comes from many countries and is packaged, transported and stored in ways that can either help or hinder the recovery of food products. Agencies driving the food waste goal will talk about how they define food waste, the baselines they use to measure food waste and what you can do to help find innovative approaches to achieve the goal of a 50 percent reduction by 2030. <br> <br> ",4/5/16 10:30,4/5/16 11:45,Ballroom C,all, ,"MStanislaus,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/USFoodWasteGoal.aspx,KECtCAtMtUFWG040516all0405161030AM
Lunch,"""Attendee Toast"" Sponsored by QED <img class=""sponsors"" src=""/portals/0/events/sponsors/qed.jpg""/>",4/5/16 11:45,4/5/16 12:30,Exhibit Hall,all, ,,,L040516all0405161145AM
Keynote - In or Out: What is the Best Way to Manage Organics?," <br> <strong> ABSTRACT:</strong><br> Join this conversational point/counterpoint about different ways to process food waste and other organics to help determine what would work best for your community: anaerobic digestion, composting or some other another alternative. <br> <br> ",4/5/16 12:30,4/5/16 13:45,Ballroom C,all, ,"MCotton,PSullivan,SRobinson,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WhatistheBestWaytoManageOrganics.aspx,KIoOWitBWtMO040516all0405161230PM
Break,.,4/5/16 13:45,4/5/16 14:30,Exhibit Hall,all, ,,,B040516all040516145PM
Impact of Food Waste on Landfills, <br> <strong> ABSTRACT:</strong><br> COMING SOON <br> ,4/5/16 14:30,4/5/16 15:30,Ballroom A,LF, ,"BStaley,JWarzinski,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ImpactofFoodWasteonLandfills.aspx,IoFWoL040516LF040516230PM
SMM Overview and Where Zero Waste Fits:U.S. EPA Sustainable Materials Management Program,"<strong> ABSTRACT:</strong><br> <br> Sustainable materials management is a systemic approach to using and reusing materials more productively over their entire lifecycles. It represents a change in how society thinks about the use of natural resources and environmental protection. By looking at a product's entire lifecycle, we can find new opportunities to reduce environmental impacts, conserve resources and reduce costs. ",4/5/16 14:30,4/5/16 15:30,Ballroom B,RTZW, ,"KSalyer,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/USEPASustainableMaterialsManagementProgram.aspx,SOaWZWFESMMP040516RTZW040516230PM
SMM Overview and Where Zero Waste Fits:Toyota Sustainability Program - EPA Waste Wise Award Recipient,<strong> ABSTRACT:</strong><br> <br> Coming Soon ,4/5/16 14:30,4/5/16 15:30,Ballroom B,RTZW, ,"MYamauchi,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ToyotaSustainabilityProgramEPAWasteWiseAwardRecipient.aspx,SOaWZWFSPEWWAR040516RTZW040516230PM
Rules and Regulations Update:Industry Impacts from the New NSPS Rule for Landfills,"<strong> ABSTRACT:</strong><br> <br> Industry experts from the SWANA Rules and Regulations and Advocacy committees will discuss the current status of the upcoming federal rulemakings including the revised NSPS and EG rules for landfills. Â In addition, the experts will discuss other regulatory developments with the potential to affect the LFG/biogas industry, including the common control issue, proposed changes to the federal GHG reporting rule, and renewable energy programs as they affect biogas sources.<br> <br> ",4/5/16 14:30,4/5/16 15:30,Ballroom C,LGB, ,"PSullivan,ABanister,NWuestenberg,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/IndustryImpactsfromtheNewNSPSRuleforLandfills.aspx,RaRUIftNNRfL040516LGB040516230PM
Session Change,.,4/5/16 15:30,4/5/16 15:40,.,all, ,,,SC040516all040516330PM
Industrial Waste:Mixed Ash Landfill Emerging Issues, <br> <strong> ABSTRACT:</strong><br> Landfills may accept a varying ration of coal ash wastes that create a leachate that includes a number of inorganic constituents. These constituents may cause GCL liners to be compromised and may also cause effluent violations. Problems and solutions will be discussed.<br> <br> ,4/5/16 15:40,4/5/16 16:40,Ballroom A,LF, ,"ICooper,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/MixedAshLandfillEmergingIssues.aspx,IWALEI040516LF040516340PM
Design and Operational Considerations for Managing E&P Oil Field Waste in Municipal Solid Waste Landfills," <br> <strong> ABSTRACT:</strong><br> Due to technology innovation in the oil industry that has increased oil exploration and production in the U.S., a number of municipal solid waste landfills have seen increased oil field waste acceptance that has presented challenges for its proper management for waste disposal. This presentation will focus on the technical design, operational and economic considerations that need to be considered to prepare municipal solid waste landfills to properly manage E&amp;P oil field waste.<br> <br> ",4/5/16 15:40,4/5/16 16:40,Ballroom A,LF, ,"JReed,MElizondo,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/DesignandOperationalConsiderationsforManagingEandPOilFieldWasteinMunicipalSolidWasteLandfills.aspx,DaOCfMEOFWiMSWL040516LF040516340PM
Organics Processing Case Studies:Charleston County Food Waste Program ,"<strong> ABSTRACT:</strong><br> <br> NOTE: Tour 1 on Thursday, April 7, will go to the Bees Ferry Road Landfill <br> Presentation description to come ",4/5/16 15:40,4/5/16 16:40,Ballroom B,RTZW, ,"HGibson,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CharlestonCountyFoodWasteProgram.aspx,OPCSCFWP040516RTZW040516340PM
Organics Processing Case Studies:Anaerobic Digestion of Organics from Mixed Waste,"<strong> ABSTRACT:</strong><br> <br> Anaerobic digestion is gaining much attention in North America as a means for extracting renewable energy from organic wastes and reducing environmental impacts, particularly greenhouse gas emissions. This presentation will focus on the anaerobic digestion of organic wastes from mixed-waste collection through post-processing and present case studies that walk through the process of selecting and implementing two different AD and biogas technologies and systems.<br> <br> Attendees will develop a better understanding of:<br> Â· The waste stream broken into segments based on collection practices<br> Â· Anaerobic digester technologies and the factors that determined their selection<br> Â· The economic drivers that will define the success of a project<br> ",4/5/16 15:40,4/5/16 16:40,Ballroom B,RTZW, ,"JMiller,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/IntegratingDifferentADTechnologiestoIncreaseProcessingEfficiency.aspx,OPCSDoOfMW040516RTZW040516340PM
Organics Processing Case Studies:Insect Farming _ Converting Recycled Food into Renewable Animal Feed Ingredients and Organic Fertilizer,"<strong> ABSTRACT:</strong><br> <br> More than 30 percent of the worldâ€™s food is wasted before reaching the end consumer. Meanwhile, feed manufacturers are searching for sustainable alternatives to traditional protein sources. A sustainable insect farming operation near Vancouver, British Columbia, grows black soldier fly larvae (Hermetia illucens) as a renewable source of nutrients for animals and plants. The larvae are reared on pre-consumer recycled food collected from local farms, food processors and grocery stores. After harvesting, the larvae are processed into high value protein and oil commodities as sustainable substitutes for costly and resource-intensive ingredients like fishmeal and palm kernel oil. The larvae manure is a natural fertilizer that can be used in organic crop production. ",4/5/16 15:40,4/5/16 16:40,Ballroom B,RTZW, ,"VLeung,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CreatingNaturalFertilizerforOrganicAgriculture.aspx,OPCSF_CRFiRAFIaOF040516RTZW040516340PM
Anaerobic Digester - Energy Projects:Options for Using Biogas Generated from Food Waste Digestion at Wastewater Treatment Plants,"<strong> ABSTRACT:</strong><br> <br> An increasing number of projects are being developed around the country in which food waste will be added to existing digesters at wastewater treatment plants. These projects offer an opportunity to use spare capacity in existing infrastructure to divert material from landfills. In many cases, a wastewater treatment plant will have spare digester capacity to accept food waste, but not spare power generation capacity to use additional biogas generated from the food waste.<br> <br> This presentation will provide an overview of options for using biogas at wastewater treatment plants. These options are somewhat different than those for landfill gas projects, largely because of high electrical consumption in the wastewater treatment process. The presentation will cover technical, commercial and regulatory aspects of energy use. ",4/5/16 15:40,4/5/16 17:10,Ballroom C,LGB, ,"MMcDannel,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/OptionsforUsingBiogasGeneratedfromFoodWasteDigestionatWastewaterTreatmentPlants.aspx,ADEPfUBGfFWDaWTP040516LGB040516340PM
"Anaerobic Digester - Energy Projects:Disney Digester, Orlando, Florida",<strong> ABSTRACT:</strong><br> <br> Coming Soon ,4/5/16 15:40,4/5/16 17:10,Ballroom C,LGB, ,"BMoffatt,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/DisneyDigester.aspx,ADEPDOF040516LGB040516340PM
Anaerobic Digester - Energy Projects:San Jose/Monterey Food Waste Digesters,<strong> ABSTRACT:</strong><br> <br> Coming Soon ,4/5/16 15:40,4/5/16 17:10,Ballroom C,LGB, ,"EHerbert,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SanJoseMontereyFoodWasteDigesters.aspx,ADEPJFWD040516LGB040516340PM
YP Mid-Year Meeting,"Head over to the YP meeting for a chance to meet other YPs and participate in a group discussion about the upcoming year, share your ideas and feedback, while also receiving updates from the Steering Committee.",4/5/16 15:45,4/5/16 17:15,Room 1,"YP,all", ,,,YMM040516YPall040516345PM
Session Change,.,4/5/16 16:40,4/5/16 16:50,.,"RTZW,LF", ,,,SC040516RTZWLF040516440PM
Long Term Care Policy Discussion:Caring for Subtitle D Landfills Following the Post-Closure Care Period," <br> <strong> ABSTRACT:</strong><br> In 2014, SWANA's Landfill Technical Division created a Landfill Long-Term Management Committee. The committee commissioned a survey of state regulators to determine their positions and policies regarding the long-term care of closed Subtitle D landfills. Responses were received from 28 states and compiled into a summary report. Following the survey, the committee developed and submitted a proposed policy position for adoption by the SWANA International Board on this issue.<br> <br> This session will include a presentation on the state survey responses, as well as the proposed SWANA long-term care policy. <br> <br> ",4/5/16 16:50,4/5/16 17:50,Ballroom A,LF, ,"TTolaymat,JOBrien,RGardner,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CaringforSubtitleDLandfillsFollowingthePostClosureCarePeriod.aspx,LTCPDfSDLFtPCP040516LF040516450PM
Role of Reduction and Reuse: Beyond Recycling: Incorporating Reduce and Reuse Strategies,"<strong> ABSTRACT:</strong><br> <br> While recycling is an important part of the sustainability journey many municipalities and businesses that have reduced wasteful processes and implemented reuse systems first have realized the greatest savings. Join us to understand how to save money, reduce your environmental footprint, and make the best use of available resources with the first two Râ€™s: ""Reduce and Reuse"". Learn how reuse can serve as the foundation for successful business ventures from a variety of local and national professionals with hands on experience. The session will cover reuse issues such as deconstruction, repair, creative reuse and the sharing economy.<br> Following this presentation, participants will be able to...<br> 1) Understand the concepts of waste prevention and reuse.<br> 2) Understand the triple bottom line benefits of reuse.<br> 3) Understand how reuse factors into zero waste, green procurement and overall sustainability. ",4/5/16 16:50,4/5/16 17:50,Ballroom B,RTZW, ,"MEtienne,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BeyondRecyclingIncorporatingReduceandReuseStrategies.aspx,RoRaRBRIRaRS040516RTZW040516450PM
Role of Reduction and Reuse: The Center for Hard to Recycle Materials (CHARM),"<strong> ABSTRACT:</strong><br> <br> Live Thrive Atlanta is a nonprofit organization working since 2010 to create a community that cares about a healthy and sustainable environment. Live Thrive's most recent initiative, CHaRM stands for The Center for Hard to Recycle Materials. It is a permanent drop-off facility that aims to improve our environmental health by encouraging reuse and diverting thousands of pounds of household hazardous waste, bulky trash and other hard to recycle items from Metro-Atlanta landfills and water systems. ",4/5/16 16:50,4/5/16 17:50,Ballroom B,RTZW, ,"PRatcliffe,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TheCenterforHardtoRecycleMaterials.aspx,RoRaRTCfHtRM040516RTZW040516450PM
Role of Reduction and Reuse:Tales of the Two R's from the Tarheel State,"<strong> ABSTRACT:</strong><br> <br> Communities typically focus on recycling as their main method of waste reduction. However, source reduction and reuse programs play an instrumental role in the ability of a community to meet waste reduction goals, especially given the realities of todayâ€™s tight budgets and market conditions. In this session, learn how reuse and reduction efforts, large and small, are being promoted in North Carolina and walk away with some ideas you can implement in your area. You will hear about community events like Reuse Rodeos, lending programs like Fork It Over, Swap Shops at convenience centers, education strategies to increase public awareness and creative reuse centers like The Scrap Exchange in Durham, which diverts 80 tons from the landfill each year. ",4/5/16 16:50,4/5/16 17:50,Ballroom B,RTZW, ,"HCashwell,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CreativeCommunityInvolvement.aspx,RoRaRotTRftTS040516RTZW040516450PM
YP Networking Happy Hour,Kick back and relax with fellow YPs then head out to a local hotspot to grab a few drinks and make new friends. ,4/5/16 18:30,4/5/16 21:00,Embassy Suites Bar,"YP,all", ,,,YNHH040516YPall040516630PM
Agricultural Waste Digesters:Waste to Worth: Next Generation Manure Technology,"<strong> ABSTRACT:</strong><br> The Loyd Ray Farms project was the first swine waste project in the state of North Carolina to generate and transfer renewable energy credits (RECs) to a public utility using an anaerobic digester as primary treatment. In addition to an energy offtake, this system provides environmental benefits and emissions reductions that are monetized to support the system economics. The project has received global attention for its successes in combining strategies to address the desires for generating renewable energy from agricultural sources and sustainable agriculture, while addressing public concerns on farmingâ€™s relationship to climate change and impacts to the environment. This presentation provides a description of the techniques used to harvest value from the animal manure, presents data and lessons learned from four years of operations and discusses the future of these types of waste conversion projects ",4/5/16 17:20,4/5/16 17:50,Ballroom C ,LGB, ,"GSimmons,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WastetoWorthNextGenerationManureTechnology.aspx,AWDtWNGMT040516LGB040516520PM
Agricultural Waste Digesters:Rutland Farms Dairy ,"<strong> ABSTRACT:</strong><br> The Rutland, Massachusetts, digester is the case study for the DMI and the Massachusetts Department of Environmental Protection to show others how the use of organics and manure can be a triple win for farmer, food industry and the environment. ",4/5/16 17:20,4/5/16 17:50,Ballroom C ,LGB, ,"BJorgenson,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/RutlandFarmsDairy.aspx,AWDFD040516LGB040516520PM
5K Fun Run/Walk for Charity,"<em>Race Begins Promptly at 7 a.m.</em> SWANA is thrilled to invite you to participate in the 1st Annual SWANApalooza 5K Fun Run/Walk with proceeds supporting the charity, Lowcountry Food Bank. Lowcountry Food Bank is a non-profit organization that serves the 10 coastal counties of South Carolina through distribution centers in Charleston, Yemassee and Myrtle Beach. With your support, thousands of less fortunate people will gain access to nutritious food and hope for a better future. SWANA is proud to partner with Lowcountry Food Bank at SWANApalooza 2016 in Charleston, South Carolina and we look forward to you joining us on April 6th, 2016 for our 5K Fun Run-Walk!Sponsored by Morrow Renewables<img class=""sponsors"" style=""width: 35%;"" src=""/portals/0/events/sponsors/morrow.jpg""/>",4/6/16 6:15,4/6/16 7:30,Convention Center Entrance - Near the entrance flags,all, ,,,5FRfC040616all040616615AM
Registration and Information Desk Open,.,4/6/16 7:00,4/6/16 16:00,.,"YP,all", ,,,RaIDO040616YPall040616700AM
Certification Exam Check-in,.,4/6/16 7:30,4/6/16 8:00,Room 5,all, ,,,CEC040616all040616730AM
Continental Breakfast,.,4/6/16 7:30,4/6/16 8:00,Exhibit Hall,all, ,,,CB040616all040616730AM
SWANApalooza and Fleet Management Expo Exhibit Hall Open,.,4/6/16 8:00,4/6/16 16:00,Exhibit Hall,"YP,all", ,,,SaFMEEHO040616YPall040616800AM
SWANA Training Courses,.,4/6/16 8:00,4/6/16 17:30,See Course For Location,"TRNG,all", ,,,STC040616TRNGall040616800AM
SWANA Training Course: Manager of Landfill Operations,3-Day Training Course: April 4 - 6,4/6/16 8:00,4/6/16 17:30,Room 8 & 9,"TRNG,all", ,,,STCMoLO040616TRNGall040616800AM
SWANA Training Course: Managing Composting Programs,.,4/6/16 8:00,4/6/16 17:30,Room 4,"TRNG,all", ,,,STCMCP040616TRNGall040616800AM
SWANA Training Course: Managing Recycling Systems,.,4/6/16 8:00,4/6/16 17:30,Room 10,"TRNG,all", ,,,STCMRS040616TRNGall040616800AM
SWANA Training Course: Managing Collection Systems,.,4/6/16 8:00,4/6/16 17:30,Room 14,"TRNG,all", ,,,STCMCS040616TRNGall040616800AM
Keynote - Implementing The Paradigm Shift: Transitioning to a Circular Economy in North America," <br> <strong> ABSTRACT:</strong><br> The circular economy, a new approach to addressing sustainability challenges, is gaining momentum in North America. Progressive companies are forming innovative cross-sector partnerships, adopting zero waste to landfill policies, and taking the lead on influencing policy. The U.S. EPA is promoting resource efficiency and sustainable materials management. Local governments, as always, are looking to manage waste in an economic and environmentally sustainable manner. But real barriers remain, such as struggling markets for secondary recovered materials and the difficulty in bringing innovative technologies to the market. In this session, you will hear about what it will take to move from a linear economy to a circular economy and how you can help foster this transition. <br> <br> ",4/6/16 8:30,4/6/16 9:30,Ballroom C,all, ,"TMichaels,AYeckel,MHammond,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ImplementingTheParadigmShiftTransitioningtoaCircularEconomyinNorthAmerica.aspx,KITPSTtaCEiNA040616all040616830AM
Introduction to SWANA's Technical Divisions, <br> <strong> ABSTRACT:</strong><br> A great way to get more out of your SWANA membership is to join one of SWANAâ€™s seven Technical Divisions. This session is geared toward SWANA members who have not yet joined a Technical Division or are looking to increase their involvement in a Technical Division. This session will provide a more in-depth look into what each Technical Division is actively working on and ways that you can get involved in those Technical Divisions. <br> <br> ,4/6/16 9:30,4/6/16 10:30,Room 1,"YP,all", ,"NBurkhardt,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/IntroductiontoSWANAsTechnicalDivisions.aspx,ItSTD040616YPall040616930AM
Break,.,4/6/16 9:30,4/6/16 10:30,Exhibit Hall,all, ,,,B040616all040616930AM
Artificial Turf Cover Systems:Artificial Turf Case Study: Berkeley County," <br> <strong> ABSTRACT:</strong><br> The purpose of the session is to focus specifically on the use of artificial turf cover systems at MSW landfills. Potential uses include intermediate as well as final cover systems. At WASTECON 2015. a session focused on alternative cover systems in general, which included exposed geomembranes as well as artificial turf systems. This session is s a follow-up to that one. <br> <br> ",4/6/16 10:30,4/6/16 11:30,Ballroom A,LF, ,"MSchlievert,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ArtificialTurfCaseStudyBerkeleyCounty.aspx,ATCSTCSBC040616LF0406161030AM
Artificial Turf Cover Systems:Overview and Case Histories of an Engineered Turf Closure Solution at MSW Landfills," <br> <strong> ABSTRACT:</strong><br> The purpose of the session is to focus specifically on the use of artificial turf cover systems at MSW landfills. Potential uses include intermediate as well as final cover systems. At WASTECON 2015. a session focused on alternative cover systems in general, which included exposed geomembranes as well as artificial turf systems. This session is s a follow-up to that one. <br> <br> ",4/6/16 10:30,4/6/16 11:30,Ballroom A,LF, ,"CEichelberger,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/OverviewandCaseHistoriesofanEngineeredTurfClosureSolutionatMSWLandfills.aspx,ATCSaCHoaETCSaML040616LF0406161030AM
Artificial Turf Cover Systems:Regulatory Perspective of Artificial Turf Systems as Final Cover Systems," <br> <strong> ABSTRACT:</strong><br> The purpose of the session is to focus specifically on the use of artificial turf cover systems at MSW landfills. Potential uses include intermediate as well as final cover systems. At WASTECON 2015. a session focused on alternative cover systems in general, which included exposed geomembranes as well as artificial turf systems. This session is s a follow-up to that one. <br> <br> ",4/6/16 10:30,4/6/16 11:30,Ballroom A,LF, ,"JBlalock,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/RegulatoryPerspectiveofArtificialTurfSystemsasFinalCoverSystems.aspx,ATCSPoATSaFCS040616LF0406161030AM
International Food Waste and Recycling:The Organized Research Center of Excellence,"<strong> ABSTRACT:</strong><br> <p class=""p1""><span class=""s1"">Established in January 2015, the Organized Research Center of Excellence, Solid Waste Institute for Sustainability (SWIS), at the University of Texas at Arlington (UTA) helps countries and cities around the globe improve their waste management and make landfills more efficient and sustainable. The center stems from Dr. Sahadat Hossainâ€™s work in waste management and bioreactor landfill technology and his research with the City of Denton and in Ghana, Africa. The center is developed in agreement with the International Solid Waste Association (ISWA), headquarter in Vienna, Austria, whose mission is to promote sustainable waste management worldwide. Dr. Hossain will talk about SWISâ€™s international projects and future activities for the sustainable waste management in developing countries.Â  Â Recently, Dr. Hossain and SWIS team completed ISWA-SWIS Winter School from January 18-January 29, 2016, at UTA and City of Denton. The participants from more than 25 countries joined SWIS-ISWA Winter School. The objective of the Winter School was to provide advanced knowledge in the field of waste management to an international audience of existing and emerging solid waste experts. Finally, the mission of SWIS is to work on developing clean and healthy urban cities through sustainable waste management.</span> ",4/6/16 10:30,4/6/16 11:30,Ballroom B,RTZW, ,"SHossain,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TheOrganizedResearchCenterofExcellence.aspx,IFWaRORCoE040616RTZW0406161030AM
"International Food Waste and Recycling: Surrey Biofuel Facility, British Columbia, Canada","<strong> ABSTRACT:</strong><br> <br> Located in Surreyâ€™s Port Kells industrial area, the facility will receive and process 115,000 tonnes of organic waste annually. It will convert the cityâ€™s kitchen and yard waste, along with commercial waste from across the region, into renewable natural gas. The natural gas will be used to power the cityâ€™s natural gas waste collection trucks, natural gas service fleet and new district energy system. The facility will also produce a compost product that will be suitable for landscaping and agricultural applications. The anaerobic digestion, composting and the way they are integrated in the Surrey Biofuel Project will be explained. The use of upgraded biogas as fuel for the cityâ€™s waste collection trucks, the use of compost for city berms, parks, trees and gardens, innovative applications of SRF as well as new recycling developments for multi-family houses and industrial commercial and institutional waste will be presented.<br> <br> Following this presentation, participants will be able to...<br> 1) understand the economic benefits of the facility<br> 2) understand the environmental benefits of the facility<br> 3) how to make a business case for a biofuel processing facility ",4/6/16 10:30,4/6/16 11:30,Ballroom B,RTZW, ,"POostelbos,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SurreyBiofuelFacilityBritishColumbiaCanada.aspx,IFWaRSBFBCC040616RTZW0406161030AM
