Date,StartTime,EndTime,SessionTitle,Speakers,Summary,ConfCode,Link,Location
`April 6,11:30 a.m.,12:30 p.m.,Lunch,.,Interested in becoming a Lunch sponsor?,all,https://swana.org/Exhibit/SWANApalooza.aspx,Exhibit Hall
`April 6,12:30 p.m.,1:30 p.m.,Introduction and Survey of Leachate Treatment Technologies<br />Physical Chemical and Biological Systems,"Ivan Cooper, Principal, Civil and Environmental Consultants, Inc.",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/PhysicalChemicalandBiologicalSystems.aspx,Ballroom A
`April 6,12:30 p.m.,1:30 p.m.,Introduction and Survey of Leachate Treatment Technologies<br />Evaporation Systems,"Marc Rogoff, Project Director, SCS Engineers",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/EvaporationSystems.aspx,Ballroom A
`April 6,12:30 p.m.,1:30 p.m.,Why Food is Wasted and What to Do With It<br />Halving Food Waste by 2030: How Will Production Facilities Get There?,"Jim Seley, President, Normandy Waste Management System",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/HalvingFoodWasteby2030HowWillProductionFacilitiesGetThere.aspx,Ballroom B
`April 6,12:30 p.m.,1:30 p.m.,"Why Food is Wasted and What to Do With It<br />SERDC/EPA Food Recovery Summit 2015, Report on Obstacles and Opportunities","Will Sagar, Executive Director, Southeast Recycling Development Council; Cheryl Coleman, Director - Resource Conservation and Sustainability Division, U.S. EPA",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SERDCEPAFoodRecoverySummit2015ReportonObstaclesandOpportunities.aspx,Ballroom B
`April 6,12:30 p.m.,1:30 p.m.,Why Food is Wasted and What to Do With It<br />Rescuing Excess Food to Feed People in Need,"Amy Kosar, Senior Account Manager - Retail Product Sourcing, Feeding America",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/RescuingExcessFoodtoFeedPeopleinNeed.aspx,Ballroom B
`April 6,12:30 p.m.,1:30 p.m.,LFG Case Studies<br />Evaluating and Rehabilitating an Aging Landfill Gas System _ I-95 Landfill Case Study,"Darrin Dillah, Vice President, SCS Engineers;  Chris Meoli, Engineer, Fairfax County Department of Public Works and Environmental Services",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/EvaluatingandRehabilitatinganAgingLandfillGasSystem.aspx,Ballroom C
`April 6,12:30 p.m.,1:30 p.m.,LFG Case Studies<br />Well Dewatering Pumps Powered by the Sun Increase LFG Production - Multiple Case Studies,"Joseph Curro, Principal Engineer, CDM Smith",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WellDewateringPumpsPoweredbytheSunIncreaseLFGProduction.aspx,Ballroom C
`April 6,12:30 p.m.,1:30 p.m.,Pre/Post LFG Treatment<br />Biogas Conditioning: New Technologies,"Eric Wilgenbusch, Sales Engineer, Unison",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BiogasConditioningNewTechnologies.aspx,Room 1
`April 6,12:30 p.m.,1:30 p.m.,Pre/Post LFG Treatment<br />Comparisons of H2S and Siloxane Removal Technologies at the Coffin Butte Landfill,"Jeff Friesen, Project Manager, Energyneering Solutions, Inc.",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ComparisonsofH2SandSiloxaneRemovalTechnologiesattheCoffinButteLandfill.aspx,Room 1
`April 6,12:30 p.m.,1:30 p.m.,Pre/Post LFG Treatment<br />The Removal of Siloxane from Landfill Gas ,"Dan Waineo, Project Engineer, ES Engineering Services",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TheRemovalofSiloxanefromLandfillGas.aspx,Room 1
`April 6,1:30 p.m.,2:30 p.m.,Break,.,.,all,#,Exhibit Hall
`April 6,2:30 p.m.,3:30 p.m.,Regulatory Aspects of Food Waste Recycling: Jump Starting Food Recovery in South Carolina,"Jana White, Manager - Solid Waste Grants - Planning and Regulation Development, Department of Health and Environmental Control",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/JumpStartingFoodRecoveryinSouthCarolina.aspx,Ballroom B
`April 6,2:30 p.m.,3:30 p.m.,Regulatory Aspects of Food Waste Recycling: _After a Good Dinner ..._: The Meat and Bones of Food Waste Management,"Constance Hornig, Attorney, Law Offices",.,RTZW,#,Ballroom B
`April 6,2:30 p.m.,4:00 p.m.,Landfill Operations<br />Benefits of Serving Pancakes at Your Landfill,"Jeff Dworek, S.C., Director of Operations, Metro Waste Authority",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BenefitsofServingPancakesatYourLandfill.aspx,Ballroom A
`April 6,2:30 p.m.,4:00 p.m.,Landfill Operations<br />Landfill Settlement: The Benefits of Knowing What Goes On Inside and Outside Your Landfill,"<!--Robert Isenberg, S.C., P.E., CPG, Senior Vice President, SCS Engineers; Alex Stege, Senior Project Advisor, SCS Engineers-->",.,LF,#,Ballroom A
`April 6,2:30 p.m.,4:00 p.m.,Landfill Operations<br />Sinkhole Remediation within the Lined Limits of a Class I Landfill,"Robert Curtis, Sr. Project Engineer, HDR Engineering, Inc.; Richard Siemering, Florida Waste Operations - Manager, HDR Engineering, Inc.; Larry Ruiz, Landfill Operations Manager, Hillsborough County Public Works Department",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SinkholeRemediationwithintheLinedLimitsofaClassILandfill.aspx,Ballroom A
`April 6,2:30 p.m.,4:00 p.m.,International LFG Applications<br />Taking Lessons Learned Around the World: A Case Study of Improving Landfill Gas Collection Systems,"J Morgan, Project Manager, SCS Engineers",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TakingLessonsLearnedAroundtheWorld.aspx,Ballroom C
`April 6,2:30 p.m.,4:00 p.m.,International LFG Applications<br />The City of Calgary LFG Recovery Projects -   A Decade of Challenges and Successes,"Chuck Smith, P.E., Senior Project Manager, CH2M; Martin Ortiz, P. Geol., Landfill Operations Team Leader - Waste & Recycling Services, The City of Calgary",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TheCityofCalgaryLFGRecoveryProjects.aspx,Ballroom C
`April 6,2:30 p.m.,4:00 p.m.,International LFG Applications<br />Trials/Tribulations of a Small Landfill Gas to Energy Project:  335 Kilowatts of Green Power,"David Kerr, Manager of Environmental Services, City of Kawartha Lakes; Denise Burgess, Project Engineering Manager, Comcor Environmental Limited",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TrialsandTribulationsofaSmallLandfillGastoEnergyProject.aspx,Ballroom C
`April 6,3:30 p.m.,3:40 p.m.,Session Change,.,.,RTZW,#,.
`April 6,3:40 p.m.,4:10 p.m.,Best Hope is Not Hoping for the Best:  Critical Legal Issues in Waste Collection Contracts,"Barry Shanoff, Attorney at Law, SWANA General Counsel",Waste Collection Contracts,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CriticalLegalIssuesinWasteCollectionContracts.aspx,Ballroom B
`April 6,4:00 p.m.,4:10 p.m.,Session Change,.,.,LF LGB,#,.
`April 6,4:10 p.m.,4:20 p.m.,Session Change,.,.,RTZW,#,.
